occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Professionals,"Information and Organisation Professionals, nfd",26.8,9.2,26.3,219.3
Professionals,Intelligence and Policy Analysts,484.3,249.4,343.3,6097.9
Professionals,Interior Designers,396.7,230.6,1065.1,2426.3
Professionals,Journalists and Other Writers,947,257.2,525.5,6194.2
Professionals,Judicial and Other Legal Professionals,194.2,88.2,124.5,2669.5
Professionals,Land Economists and Valuers,497.7,239.4,427.40000000000003,3613.4
Professionals,Librarians,153.9,71.7,177.1,1850.7
Professionals,Life Scientists,50.8,27.8,44.4,2028.1
Professionals,Management and Organisation Analysts,2905.7,1172.7,2089.3,19560
Professionals,Marine Transport Professionals,592.3000000000001,725.4,756.3000000000001,508.5
Professionals,"Media Professionals, nfd",134.8,44.9,79,685.3
Professionals,Medical Imaging Professionals,89.1,24.6,416.7,6568.9
Professionals,Medical Laboratory Scientists,147.6,20.3,120.4,7134.2
Professionals,"Medical Practitioners, nfd",11.5,0.6000000000000001,3,726.1
Professionals,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,0,1.5,332.1
Professionals,Midwives,78,7.1000000000000005,198.3,6092.4
Professionals,Mining Engineers,96.2,96,110.2,3107.8
Professionals,Ministers of Religion,292.6,236.1,645.2,2857.9
Professionals,"Miscellaneous Education Professionals, nfd",26,21,36.4,166.7
Professionals,Multimedia Specialists and Web Developers,670.2,242.9,659.9,3819.4
Professionals,Music Professionals,876.7,220.3,311,1629.4
Professionals,"Natural and Physical Science Professionals, nfd",59.5,18.4,33.3,3056.7
Professionals,Nurse Educators and Researchers,7.3,6.4,103.3,1343.7
Professionals,Nurse Managers,79.6,60.4,412.3,3886.4
Professionals,Nutrition Professionals,39.300000000000004,13.9,63.5,2498.8
Professionals,Occupational and Environmental Health Professionals,835.2,1023.1,1564.2,3740.8
Professionals,Occupational Therapists,42.6,3.2,38.9,6486.4
Professionals,Optometrists and Orthoptists,32.1,12.6,34.4,2045.2
Professionals,Other Engineering Professionals,92.1,127.5,141,2782.2
Professionals,Other Health Diagnostic and Promotion Professionals,108.4,90.3,184.7,1531.5
Professionals,Other Information and Organisation Professionals,1143.6,574.8,778.6,5614.2
Professionals,Other Medical Practitioners,114.5,73,70.3,4090.1
Professionals,Other Natural and Physical Science Professionals,88.3,36.300000000000004,77.5,3119.3
Professionals,Pharmacists,285.8,55.8,48.1,10666.7
